!Property,!Text,!Note
SettingsMonitorsTab,Мониторы,Title of the settings monitors tab
SettingsPollingInterval,Интервал запросов,Settings polling interval label
SettingsPollingIntervalTooltip,Время между запросами обновления данных на панели в миллисекундах.,Settings polling interval tooltip
SettingsReserveSpace,Резерв места,Settings reserve space label
SettingsReserveSpaceTooltip,Резервирует пространство на рабочем столе для панели диагностики.,Settings reserve space tooltip
SettingsRoundAllDecimals,Округлять десятичные значения,Settings round all decimals label
SettingsRoundAllDecimalsTooltip,Все дробные значения округляются до ближайшего целого числа.,Settings round all decimals tooltip
SettingsRunAtStartup,Автозапуск,Settings run at startup label
SettingsRunAtStartupTooltip,Запускает приложение при входе в систему.,Settings run at startup tooltip
SettingsScreen,Экран,Screen settings label
SettingsScreenTooltip,Экран боковой панели будет дальше.,Screen settings tooltip
SettingsShowClock,Показывать часы,Settings show clock label
SettingsShowClockTooltip,Отображает часы на панели.,Settings show clock tooltip
SettingsShowDriveDetails,Показать данные накопителя,Settings show drive details label
SettingsShowDriveIO,Показать привод IO,Settings show drive IO label
SettingsShowDriveIOTooltip,Показывает скорость чтения и записи дисков если информация о диске включена.,Settings show drive IO tooltip
SettingsShowDriveSpace,Показать свободное место,Settings show drive space label
SettingsShowDriveSpaceTooltip,Показывает процент нагрузки использование пространства и свободного места если информация о диске включена.,Settings show drive space tooltip
SettingsShowHardwareNames,Показывать название оборудования,Settings show hardware names label
SettingsShowHardwareNamesTooltip,Отображает названия оборудования на панели.,Settings show hardware names tooltip
SettingsShowTrayIcon,Значок в трее,Settings show tray icon label
SettingsShowTrayIconTooltip,Показывает значок в трее на панели задач.,Settings show tray icon tooltip
SettingsSidebarWidth,Ширина панели,Settings sidebar width label
SettingsSidebarWidthTooltip,Устанавливает ширину панели в пикселях.,Settings sidebar width tooltip
SettingsTemperatureAlert,Уведомлять о превышении,Settings temperature alert label
SettingsTemperatureAlertTooltip,Устанавливает нижнее значение температуры при превышении которой происходит индикация на панели. Используйте 0 для отключения.,Settings temperature alert tooltip
SettingsTextAlign,Выравнивание текста,Settings text align label
SettingsTextAlignLeft,по левому краю,Settings text align left value
SettingsTextAlignRight,по правому краю,Settings text align right value
SettingsTextAlignTooltip,Изменяет выравнивание текста метрики на панели диагностики.,Settings text align tooltip
SettingsTitle,Настройки,Title of the settings window
SettingsUIScale,Масштаб,Settings UI scale label
SettingsUIScaleTooltip,Изменяет масштаб элементов интерфейса панели диагностики.,Settings UI scale tooltip
SettingsUseBytesPerSecond,Использовать величину Кбайт/с,Settings use bytes per second label
SettingsUseBytesPerSecondTooltip,Устанавливает величину байт в секунду (Кбайт/с) для мониторинга пропускной способности канала. По умолчанию бит в секунду (Кбит/с).,Settings use bytes per second tooltip
